step,sim_time,queue_total,waiting_time_avg,throughput,delay_total,stops
1020,1020.0,454.0,14.507152145643692,3,11156.0,136
1030,1030.0,372.0,10.908972691807543,0,8389.0,111
1040,1040.0,412.0,11.035110533159948,1,8486.0,123
1050,1050.0,392.0,12.35630689206762,4,9502.0,117
1060,1060.0,443.0,13.221066319895968,5,10167.0,132
1070,1070.0,488.0,15.64629388816645,1,12032.0,146
1080,1080.0,517.0,18.214564369310793,3,14007.0,155
1090,1090.0,502.0,17.581274382314696,4,13520.0,150
1100,1100.0,427.0,15.676202860858258,2,12055.0,128
1110,1110.0,401.0,16.713914174252277,4,12853.0,120
1120,1120.0,424.0,15.208062418725618,3,11695.0,127
1130,1130.0,472.0,14.700910273081925,4,11305.0,141
1140,1140.0,449.0,11.278283485045513,5,8673.0,134
1150,1150.0,376.0,8.784135240572171,3,6755.0,112
1160,1160.0,428.0,11.323797139141742,3,8708.0,128
1170,1170.0,464.0,12.440832249674903,3,9567.0,139
1180,1180.0,577.0,17.35890767230169,6,13349.0,173
1190,1190.0,583.0,19.830949284785437,2,15250.0,174
1200,1200.0,453.0,18.137841352405722,2,13948.0,135
1210,1210.0,393.0,17.352405721716515,1,13344.0,117
1220,1220.0,383.0,16.72301690507152,1,12860.0,114
1230,1230.0,437.0,18.260078023407022,2,14042.0,131
1240,1240.0,347.0,11.581274382314694,3,8906.0,104
1250,1250.0,294.0,6.159947984395319,3,4737.0,88
1260,1260.0,336.0,7.315994798439532,2,5626.0,100
1270,1270.0,495.0,11.026007802340702,1,8479.0,148
1280,1280.0,605.0,14.932379713914175,5,11483.0,181
1290,1290.0,660.0,19.362808842652797,4,14890.0,198
1300,1300.0,659.0,21.022106631989598,1,16166.0,197
1310,1310.0,632.0,24.26267880364109,1,18658.0,189
1320,1320.0,622.0,22.083224967490246,5,16982.0,186
1330,1330.0,587.0,20.924577373211964,0,16091.0,176
1340,1340.0,482.0,19.48114434330299,1,14981.0,144
1350,1350.0,485.0,20.756827048114435,5,15962.0,145
1360,1360.0,370.0,11.145643693107932,3,8571.0,111
1370,1370.0,370.0,7.940182054616385,3,6106.0,111
1380,1380.0,431.0,9.59557867360208,2,7379.0,129
1390,1390.0,574.0,12.894668400520157,2,9916.0,172
1400,1400.0,647.0,18.410923276983095,1,14158.0,194
1410,1410.0,569.0,17.01820546163849,2,13087.0,170
1420,1420.0,582.0,19.29518855656697,2,14838.0,174
1430,1430.0,507.0,15.790637191157348,3,12143.0,152
