step,sim_time,queue_total,waiting_time_avg,throughput,delay_total,stops
980,980.0,620.0,28.817945383615086,1,22161.0,155464
990,990.0,671.0,32.51625487646294,1,25005.0,158781
1000,1000.0,372.0,20.482444733420024,0,15751.0,160912
1010,1010.0,377.0,14.7815344603381,-1,11367.0,162814
1020,1020.0,498.0,19.202860858257477,-2,14767.0,165176
1030,1030.0,537.0,20.509752925877763,1,15772.0,167717
1040,1040.0,589.0,25.64109232769831,4,19718.0,170520
1050,1050.0,614.0,28.46033810143043,0,21886.0,173543
1060,1060.0,621.0,31.91807542262679,-1,24545.0,176440
1070,1070.0,685.0,35.276983094928475,0,27128.0,179950
1080,1080.0,739.0,32.263979193758125,-4,24811.0,183870
1090,1090.0,438.0,23.868660598179453,4,18355.0,186072
1100,1100.0,484.0,29.37711313394018,-4,22591.0,188224
1110,1110.0,527.0,32.47594278283485,1,24974.0,190624
1120,1120.0,448.0,21.764629388816644,2,16737.0,192972
1130,1130.0,459.0,20.35110533159948,-3,15650.0,195609
1140,1140.0,538.0,25.96228868660598,5,19965.0,198705
1150,1150.0,558.0,28.293888166449936,-5,21758.0,201712
1160,1160.0,583.0,23.01820546163849,3,17701.0,204613
1170,1170.0,626.0,21.846553966189855,1,16800.0,207819
1180,1180.0,435.0,16.495448634590378,0,12685.0,209934
1190,1190.0,555.0,20.769830949284785,-2,15972.0,212209
1200,1200.0,647.0,24.36410923276983,2,18736.0,215109
1210,1210.0,584.0,25.685305591677505,-1,19752.0,217665
1220,1220.0,635.0,32.275682704811445,-2,24820.0,220550
1230,1230.0,617.0,35.1443433029909,6,27026.0,223532
1240,1240.0,489.0,23.015604681404422,-5,17699.0,226075
1250,1250.0,560.0,25.724317295188555,1,19782.0,228935
1260,1260.0,650.0,28.334200260078024,2,21789.0,232383
1270,1270.0,482.0,21.868660598179453,-4,16817.0,234857
1280,1280.0,576.0,28.344603381014306,1,21797.0,237422
1290,1290.0,655.0,33.235370611183356,0,25558.0,240410
1300,1300.0,680.0,36.618985695708716,1,28160.0,243588
1310,1310.0,687.0,28.817945383615086,-1,22161.0,247089
1320,1320.0,742.0,34.26527958387516,0,26350.0,250775
1330,1330.0,585.0,32.52145643693108,0,25009.0,253630
1340,1340.0,700.0,37.158647594278285,0,28575.0,256902
1350,1350.0,778.0,39.79843953185956,-1,30605.0,260811
1360,1360.0,490.0,26.87256176853056,0,20665.0,263568
1370,1370.0,480.0,25.94668400520156,1,19953.0,266119
