step,sim_time,queue_total,waiting_time_avg,throughput,delay_total,stops
980,980.0,499.0,16.323797139141742,1,12553.0,136679
990,990.0,491.0,15.035110533159948,0,11562.0,139149
1000,1000.0,490.0,16.556566970091026,-1,12732.0,141596
1010,1010.0,544.0,18.782834850455135,1,14444.0,144417
1020,1020.0,473.0,19.00520156046814,0,14615.0,147233
1030,1030.0,500.0,21.69700910273082,-2,16685.0,149748
1040,1040.0,485.0,16.083224967490246,1,12368.0,152463
1050,1050.0,475.0,17.702210663198958,3,13613.0,154877
1060,1060.0,482.0,18.34590377113134,-3,14108.0,157115
1070,1070.0,376.0,13.1222366710013,2,10091.0,159228
1080,1080.0,403.0,14.084525357607282,1,10831.0,161349
1090,1090.0,384.0,13.266579973992197,-1,10202.0,163285
1100,1100.0,427.0,15.078023407022107,1,11595.0,165221
1110,1110.0,528.0,19.504551365409622,0,14999.0,167693
1120,1120.0,565.0,20.085825747724318,-1,15446.0,170224
1130,1130.0,523.0,20.296488946684004,3,15608.0,172680
1140,1140.0,507.0,15.925877763328998,-4,12247.0,175117
1150,1150.0,556.0,18.306892067620286,1,14078.0,177594
1160,1160.0,438.0,12.906371911573473,0,9925.0,179899
1170,1170.0,468.0,13.608582574772432,-2,10465.0,181999
1180,1180.0,441.0,15.143042912873861,1,11645.0,184206
1190,1190.0,494.0,18.58777633289987,2,14294.0,186399
1200,1200.0,508.0,16.98959687906372,-3,13065.0,188913
1210,1210.0,465.0,14.849154746423928,2,11419.0,191146
1220,1220.0,465.0,17.924577373211964,1,13784.0,193365
1230,1230.0,453.0,17.966189856957087,-3,13816.0,195683
1240,1240.0,571.0,23.53966189856957,3,18102.0,198267
1250,1250.0,561.0,25.271781534460338,-1,19434.0,201147
1260,1260.0,491.0,19.60988296488947,-1,15080.0,203625
1270,1270.0,472.0,16.110533159947984,-2,12389.0,205844
1280,1280.0,498.0,15.660598179453837,2,12043.0,208164
1290,1290.0,462.0,13.751625487646294,-1,10575.0,210441
1300,1300.0,477.0,17.37711313394018,0,13363.0,212788
1310,1310.0,523.0,20.492847854356306,2,15759.0,215316
1320,1320.0,579.0,25.024707412223666,-1,19244.0,218266
1330,1330.0,538.0,21.889466840052016,1,16833.0,221223
1340,1340.0,475.0,21.182054616384914,4,16289.0,224012
1350,1350.0,502.0,23.15994798439532,-4,17810.0,226505
1360,1360.0,567.0,27.69180754226268,-1,21295.0,229325
1370,1370.0,576.0,24.561768530559167,1,18888.0,232377
1380,1380.0,619.0,19.469440832249674,-2,14972.0,235323
1390,1390.0,533.0,14.886866059817946,1,11448.0,238170
1400,1400.0,604.0,19.092327698309493,0,14682.0,240779
1410,1410.0,564.0,17.39921976592978,-1,13380.0,243702
1420,1420.0,623.0,20.024707412223666,0,15399.0,246497
1430,1430.0,714.0,24.990897269180753,0,19218.0,249860
1440,1440.0,671.0,27.661898569570873,5,21272.0,253073
1450,1450.0,662.0,30.71521456436931,-3,23620.0,256162
1460,1460.0,673.0,32.39661898569571,0,24913.0,259566
1470,1470.0,703.0,32.200260078023405,-1,24762.0,262839
1480,1480.0,734.0,34.0520156046814,5,26186.0,266397
1490,1490.0,785.0,29.015604681404422,-5,22313.0,269881
1500,1500.0,752.0,22.932379713914173,1,17635.0,273312
1510,1510.0,670.0,18.860858257477243,2,14504.0,276507
1520,1520.0,742.0,21.459037711313393,0,16502.0,279893
1530,1530.0,775.0,20.15994798439532,-5,15503.0,283534
1540,1540.0,685.0,17.79583875162549,4,13685.0,286959
1550,1550.0,691.0,20.0962288686606,-1,15454.0,290185
1560,1560.0,697.0,22.73732119635891,0,17485.0,293556
1570,1570.0,666.0,23.266579973992197,-1,17892.0,296740
1580,1580.0,727.0,29.299089726918076,1,22531.0,299937
1590,1590.0,745.0,30.197659297789336,1,23222.0,303440
1600,1600.0,748.0,32.21586475942783,0,24774.0,307146
1610,1610.0,699.0,28.234070221066318,0,21712.0,310768
1620,1620.0,579.0,25.384915474642394,-2,19521.0,314092
1630,1630.0,617.0,24.265279583875163,1,18660.0,317226
1640,1640.0,652.0,25.565669700910274,0,19660.0,320496
1650,1650.0,690.0,28.803641092327698,0,22150.0,323731
1660,1660.0,691.0,26.41742522756827,-1,20315.0,327233
1670,1670.0,755.0,29.56436931079324,-1,22735.0,330876
1680,1680.0,794.0,35.16384915474642,1,27041.0,334595
1690,1690.0,803.0,40.52535760728218,-1,31164.0,338504
1700,1700.0,805.0,45.057217165149545,2,34649.0,342506
1710,1710.0,784.0,40.54876462938881,-2,31182.0,346541
1720,1720.0,674.0,28.16514954486346,4,21659.0,350093
1730,1730.0,589.0,20.52405721716515,0,15783.0,353508
1740,1740.0,606.0,19.958387516254877,0,15348.0,356827
1750,1750.0,670.0,20.080624187256177,1,15442.0,360193
1760,1760.0,748.0,23.275682704811445,0,17899.0,363803
1770,1770.0,843.0,29.983094928478543,-2,23057.0,367783
1780,1780.0,776.0,26.88296488946684,-3,20673.0,371708
1790,1790.0,760.0,30.70481144343303,1,23612.0,375334
1800,1800.0,817.0,38.14044213263979,2,29330.0,379015
1810,1810.0,782.0,43.09102730819246,3,33137.0,382847
1820,1820.0,755.0,41.53966189856957,-4,31944.0,386611
1830,1830.0,749.0,30.431729518855658,2,23402.0,390316
1840,1840.0,761.0,27.369310793237972,-2,21047.0,394018
1850,1850.0,718.0,25.509752925877763,-2,19617.0,397562
1860,1860.0,852.0,25.921976592977895,4,19934.0,401247
1870,1870.0,912.0,28.52405721716515,-3,21935.0,405735
1880,1880.0,766.0,28.057217165149545,2,21576.0,409909
1890,1890.0,779.0,29.716514954486346,0,22852.0,413606
1900,1900.0,835.0,33.58257477243173,1,25825.0,417426
1910,1910.0,731.0,30.35370611183355,0,23342.0,421063
1920,1920.0,711.0,26.271781534460338,-1,20203.0,424548
1930,1930.0,747.0,25.50585175552666,-3,19614.0,428134
1940,1940.0,767.0,26.980494148244475,1,20748.0,431886
1950,1950.0,868.0,33.16775032509753,-1,25506.0,436036
1960,1960.0,880.0,35.55396618985696,3,27341.0,440270
1970,1970.0,897.0,41.78283485045514,3,32131.0,444501
1980,1980.0,1028.0,50.33810143042913,-7,38710.0,449129
1990,1990.0,860.0,45.518855656697006,5,35004.0,453582
2000,2000.0,924.0,45.929778933680105,-3,35320.0,457788
2010,2010.0,1026.0,51.01300390117035,3,39229.0,462653
2020,2020.0,1040.0,53.583875162548765,-1,41206.0,467732
2030,2030.0,842.0,34.492847854356306,-3,26525.0,472371
2040,2040.0,843.0,32.69050715214564,3,25139.0,476793
2050,2050.0,880.0,36.981794538361505,-3,28439.0,481252
2060,2060.0,935.0,43.261378413524056,1,33268.0,485916
2070,2070.0,884.0,44.30949284785436,1,34074.0,490504
2080,2080.0,817.0,43.5370611183355,-2,33480.0,494621
2090,2090.0,852.0,50.7334200260078,2,39014.0,498749
2100,2100.0,978.0,59.66710013003901,1,45884.0,503345
2110,2110.0,1027.0,68.41872561768531,-3,52614.0,508438
2120,2120.0,1019.0,65.8959687906372,4,50674.0,513538
2130,2130.0,944.0,62.377113133940185,-5,47968.0,518491
2140,2140.0,961.0,65.14174252275683,3,50094.0,523100
2150,2150.0,935.0,65.97919375812744,0,50738.0,528044
2160,2160.0,942.0,71.41612483745124,0,54919.0,532851
2170,2170.0,847.0,62.18855656697009,0,47823.0,537453
2180,2180.0,856.0,55.23016905071521,1,42472.0,541666
2190,2190.0,849.0,53.644993498049416,-3,41253.0,546088
2200,2200.0,758.0,56.676202860858254,0,43584.0,550351
2210,2210.0,823.0,64.76983094928478,1,49808.0,554664
2220,2220.0,875.0,72.22366710013004,-1,55540.0,559293
2230,2230.0,906.0,79.12743823146944,2,60849.0,564103
2240,2240.0,976.0,82.53836150845254,-2,63472.0,569170
2250,2250.0,909.0,63.52275682704811,0,48849.0,574365
2260,2260.0,919.0,63.4889466840052,2,48823.0,579611
2270,2270.0,891.0,63.927178153446036,1,49160.0,584650
2280,2280.0,820.0,62.853055916775034,-2,48334.0,589562
2290,2290.0,848.0,65.01170351105331,-1,49994.0,594623
2300,2300.0,763.0,53.184655396618986,2,40899.0,599169
2310,2310.0,789.0,47.644993498049416,-3,36639.0,603244
2320,2320.0,793.0,46.97269180754226,3,36122.0,607338
2330,2330.0,875.0,52.68790637191157,2,40517.0,611774
2340,2340.0,916.0,58.06501950585176,-4,44652.0,616369
2350,2350.0,997.0,63.34200260078023,1,48710.0,621129
2360,2360.0,970.0,66.36410923276983,0,51034.0,626187
2370,2370.0,901.0,65.28738621586476,0,50206.0,631093
2380,2380.0,863.0,62.323797139141746,0,47927.0,635723
2390,2390.0,942.0,61.45773732119636,-2,47261.0,640428
2400,2400.0,914.0,59.67880364109233,3,45893.0,645672
2410,2410.0,903.0,64.11963589076723,-1,49308.0,650801
2420,2420.0,883.0,69.27568270481144,1,53273.0,655877
2430,2430.0,889.0,70.00910273081925,-3,53837.0,660809
2440,2440.0,934.0,70.99479843953186,2,54595.0,665914
2450,2450.0,976.0,76.37581274382315,1,58733.0,670948
2460,2460.0,1063.0,85.32509752925878,-3,65615.0,676565
2470,2470.0,1071.0,93.6592977893368,2,72024.0,682384
2480,2480.0,1081.0,95.0780234070221,0,73115.0,688409
2490,2490.0,990.0,91.89726918075422,3,70669.0,694348
2500,2500.0,949.0,95.2405721716515,-2,73240.0,699707
2510,2510.0,1022.0,102.54616384915475,0,78858.0,705217
2520,2520.0,993.0,99.17945383615084,-1,76269.0,710717
2530,2530.0,1018.0,104.34590377113133,-2,80242.0,716391
2540,2540.0,990.0,109.89856957087126,1,84512.0,722075
2550,2550.0,956.0,114.15734720416125,1,87787.0,727523
2560,2560.0,992.0,112.81274382314695,2,86753.0,732827
2570,2570.0,944.0,114.80104031209363,-2,88282.0,737974
2580,2580.0,1094.0,121.06501950585175,3,93099.0,743667
2590,2590.0,1027.0,123.09752925877763,-4,94662.0,749407
2600,2600.0,1116.0,130.10533159947985,1,100051.0,755355
2610,2610.0,1041.0,128.09882964889468,-1,98508.0,761238
2620,2620.0,1009.0,125.64369310793238,0,96620.0,766651
2630,2630.0,980.0,129.23407022106633,0,99381.0,772090
2640,2640.0,1092.0,138.33289986996098,1,106378.0,777690
2650,2650.0,1000.0,137.56176853055916,-2,105785.0,783334
2660,2660.0,961.0,141.34330299089726,0,108693.0,788891
2670,2670.0,947.0,147.481144343303,0,113413.0,794438
2680,2680.0,927.0,150.75812743823147,8,115933.0,799836
2690,2690.0,908.0,150.44213263979194,-6,115690.0,805080
2700,2700.0,955.0,153.27178153446033,3,117866.0,810471
2710,2710.0,1048.0,161.46423927178154,1,124166.0,816214
2720,2720.0,1137.0,172.16514954486345,-5,132395.0,822293
2730,2730.0,1195.0,183.1664499349805,1,140855.0,828606
2740,2740.0,1242.0,192.79713914174252,1,148261.0,835175
2750,2750.0,1211.0,201.05851755526658,-2,154614.0,841693
2760,2760.0,1182.0,210.4187256176853,1,161812.0,848202
2770,2770.0,1168.0,217.5851755526658,1,167323.0,854799
2780,2780.0,1076.0,221.23797139141743,-1,170132.0,861371
2790,2790.0,1034.0,220.40962288686606,1,169495.0,867440
2800,2800.0,1039.0,226.51625487646294,-3,174191.0,873518
2810,2810.0,1086.0,234.0260078023407,2,179966.0,879625
2820,2820.0,1156.0,243.2665799739922,0,187072.0,885986
2830,2830.0,1124.0,241.0819245773732,0,185392.0,892255
2840,2840.0,1177.0,238.87256176853055,0,183693.0,898546
2850,2850.0,1220.0,241.42912873862159,-1,185659.0,905154
2860,2860.0,1272.0,247.3667100130039,2,190225.0,911658
2870,2870.0,1210.0,248.5110533159948,0,191105.0,918297
2880,2880.0,1222.0,256.23797139141743,-1,197047.0,924943
2890,2890.0,1106.0,254.0182054616385,1,195340.0,931206
2900,2900.0,1119.0,256.8855656697009,-1,197545.0,936963
2910,2910.0,1187.0,248.851755526658,2,191367.0,943215
